Time	Node	Type	Packets	
26	2	CacheMisses	185
26	3	CacheHits	197
26	3	CacheMisses	308
26	4	CacheHits	76
26	4	CacheMisses	95
26	5	CacheHits	17
26	5	CacheMisses	133
26	6	CacheHits	4
26	6	CacheMisses	142
26	7	CacheHits	49
26	7	CacheMisses	170
26	8	CacheHits	90
26	8	CacheMisses	306
26.5	0	CacheHits	36
26.5	0	CacheMisses	40
26.5	1	CacheHits	385
26.5	1	CacheMisses	177
26.5	2	CacheHits	0
26.5	2	CacheMisses	224
26.5	3	CacheHits	181
26.5	3	CacheMisses	94
26.5	4	CacheHits	33
26.5	4	CacheMisses	111
26.5	5	CacheHits	19
26.5	5	CacheMisses	168
26.5	6	CacheHits	0
26.5	6	CacheMisses	74
26.5	7	CacheHits	34
26.5	7	CacheMisses	114
26.5	8	CacheHits	81
26.5	8	CacheMisses	314
27	0	CacheHits	25
27	0	CacheMisses	29
27	1	CacheHits	250
27	1	CacheMisses	64
27	2	CacheHits	5
27	2	CacheMisses	98
27	3	CacheHits	323
27	3	CacheMisses	109
27	4	CacheHits	62
27	4	CacheMisses	110
27	5	CacheHits	11
27	5	CacheMisses	128
27	6	CacheHits	2
27	6	CacheMisses	110
27	7	CacheHits	52
27	7	CacheMisses	187
27	8	CacheHits	84
27	8	CacheMisses	327
27.5	0	CacheHits	47
27.5	0	CacheMisses	51
27.5	1	CacheHits	318
27.5	1	CacheMisses	230
27.5	2	CacheHits	36
27.5	2	CacheMisses	201
27.5	3	CacheHits	150
27.5	3	CacheMisses	88
27.5	4	CacheHits	56
27.5	4	CacheMisses	94
27.5	5	CacheHits	34
27.5	5	CacheMisses	160
27.5	6	CacheHits	3
27.5	6	CacheMisses	95
27.5	7	CacheHits	41
27.5	7	CacheMisses	153
27.5	8	CacheHits	68
27.5	8	CacheMisses	360
28	0	CacheHits	38
28	0	CacheMisses	45
28	1	CacheHits	280
28	1	CacheMisses	148
28	2	CacheHits	39
28	2	CacheMisses	216
28	3	CacheHits	231
28	3	CacheMisses	126
28	4	CacheHits	62
28	4	CacheMisses	97
28	5	CacheHits	36
28	5	CacheMisses	288
28	6	CacheHits	0
